Exterior Color,Interior Color,Engine,Transmission,DriveTrain,City MPG,HWY MPG,Combine MPG,HorsePower,Max Towing,Seats,Price
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal Black Silica,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crimson Metallic,Jet Black w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crimson Metallic,Jet Black w/Yellow Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Pluton Blue w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Clear White w/Fusion Black Roof,Black leatherette/cloth,gas,automatic,all wheel drive,27,31,29,146,,5,20000-30000
Pure Red,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Ice Silver Metallic,Gray cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Crystal White Pearl,,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Blue Glow Metallic,Jet Black/Gray w/Blue Accents,gas,automatic,front wheel drive,,,,137,,5,20000-30000
Crystal White Pearl,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Black premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Magnetite Gray Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
Offshore Blue Metallic,Gray premium cloth,gas,automatic,all wheel drive,37,34,29,152,1500,5,20000-30000
